index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
b1e5deea943aa654e081689c3ca02ecf,2025-10-17T02:37:00Z,'Sturmflut Zerstörung',www.gamestar.de,de,0.1,Special: Wissenschaft - Mit einem Simulator könnt ihr Deutschland meterhoch im Meer versinken lassen – doch Klimaforscher zeigen: Schon einige Zentimeter haben verheerende Folgen,Eine interaktive Karte zeigt Städte bei einem steigenden Meeresspiegel versinken. Doch der Ernstfall tritt schon weit früher ein.,"https://www.gamestar.de/artikel/sea-level-rise-3d-map-klimawandel-steigende-meeresspiegel-sturmflut,3441215.html",https://images.cgames.de/images/gamestar/293/sea-level-rise-3d-map-teaser_6380777.jpg,,"Die Sea Level Rise 3D Map zeigt, wie deutsche Städte meterhoch im Meer versinken doch für vermehrte Sturmfluten reichen schon Zentimeter (Bildquelle, links: Sea Level Rise 3D Map, rechts: parkerspics… [+5066 chars]",,Special: Wissenschaft - Mit einem Simulator könnt ihr Deutschland meterhoch im Meer versinken lassen – doch Klimaforscher zeigen: Schon einige Zentimeter haben verheerende Folgen. Eine interaktive Karte zeigt Städte bei einem steigenden Meeresspiegel versinken. Doch der Ernstfall tritt schon weit früher ein.,Special: Science - With a simulator you can sink Germany meters high into the sea - but climate researchers show: Even a few centimeters have devastating consequences. An interactive map shows cities sinking as sea levels rise. But the emergency occurs much earlier.,Specialis: Scientia - Cum simulatore Germania metra alta in mare mergi potest - sed investigatores climatis ostendunt: Etiam paucae centimetra consequentias devastantes habent. Tabula interactive ostendit urbes subsidentia sicut gradus maris oriuntur. Sed tempus multo ante.,2025-10-23 18:43:44+00:00
bc31fd2afd98b4d56d88d36d93ef86eb,2025-10-23T10:19:37Z,'Sturmflut Starkregen',www.bild.de,de,0.1,"Herbst-Tief Joshua stürmt los! - Böen mit bis zu 115 km/h, Bahn warnt vor Ausfällen",Jetzt legt der Herbst richtig los! Das Sturmtief Joshua zieht über Deutschland und hat ergiebigen Regen im Gepäck.,https://www.bild.de/news/wetter/sturmwarnung-hier-fegt-der-sturm-josuha-ueber-deutschland-68f9c64e59e2e09750708dd9,"https://images.bild.de/68f9c64e59e2e09750708dd9/1863f52eb1706c2dc617484b07c92fd3,627870ae?w=1280",,Jetzt legt der Herbst richtig los! Das Sturmtief Joshua zieht über Deutschland und hat eine Kaltfront mit Regen und kräftigem Wind und Sturm im Schlepptau. Zuerst steht dem Süden und Westen ein Wette… [+2547 chars],,"Herbst-Tief Joshua stürmt los! - Böen mit bis zu 115 km/h, Bahn warnt vor Ausfällen. Jetzt legt der Herbst richtig los! Das Sturmtief Joshua zieht über Deutschland und hat ergiebigen Regen im Gepäck.","Autumn low Joshua storms off! - Gusts of up to 115 km/h, train warns of failures. Now autumn is really getting started! The storm Joshua is moving over Germany and is bringing heavy rain with it.","Autumnus humilis Iosue procellas repellit! - Impetus usque ad 115 km/h, agmine defectis admonet. Nunc autumnus vere incepit! Procella Iosue per Germaniam movetur et pluvia magna cum ea est.",2025-10-23 18:43:44+00:00
9ff6fb05151ee795856ed85bb7757d1a,2025-10-23T14:00:57Z,'Sturmflut Starkregen',www.basicthinking.de,de,0.1,Hausratversicherung bei der GVV Direkt: Bis zu 24 Prozent günstiger,"Der Beitrag Hausratversicherung bei der GVV Direkt: Bis zu 24 Prozent günstiger erschien zuerst beim Online-Magazin BASIC thinking. Über unseren Newsletter UPDATE startest du jeden Morgen bestens informiert in den Tag.
Eine Hausratversicherung springt dann ei…",https://www.basicthinking.de/blog/2025/10/23/hausratversicherung-gvv-direkt/,https://www.basicthinking.de/blog/wp-content/uploads/2025/10/image_generation-blackforestlabs-7.jpeg,,"Eine Hausratversicherung springt dann ein, wenn dein Hab und Gut in der Wohnung in Mitleidenschaft gezogen wurde, ob durch die Elemente oder einen Einbruch. Die GVV Direkt unterstützt dich im Fall de… [+3696 chars]",,"Hausratversicherung bei der GVV Direkt: Bis zu 24 Prozent günstiger. Der Beitrag Hausratversicherung bei der GVV Direkt: Bis zu 24 Prozent günstiger erschien zuerst beim Online-Magazin BASIC thinking. Über unseren Newsletter UPDATE startest du jeden Morgen bestens informiert in den Tag.
Eine Hausratversicherung springt dann ei…","Household contents insurance with GVV Direkt: Up to 24 percent cheaper. The article Household contents insurance with GVV Direkt: Up to 24 percent cheaper appeared first in the online magazine BASIC thinking. With our newsletter UPDATE you can start the day well informed every morning.
Household contents insurance then covers a…","Continentia assecurationis cum GVV Direkt: Usque ad 24 centesimas vilius. Articulus hospitii contenta assecurationis cum GVV Direkt: Usque ad 24 centesimas vilis apparuit primus in tionibus e rationibus commentarii fundamentalis. Cum Newsletter nostro UPDATE diem inire potes omni mane bene conscio.
Familia contenta assecurationis tunc operit ...",2025-10-23 18:43:44+00:00
132ecb48cb4f8f7e1a3dc12264a15ae1,2025-10-29T19:13:30Z,'Sturmflut Tote',www.tagesschau.de,de,0.1,"Hurrikan ""Melissa"": Mindestens 20 Tote bei Überflutungen in Haiti","Nach Jamaika und Kuba hat der Hurrikan ""Melissa"" auch in Haiti für schwere Zerstörungen gesorgt. Dort starben durch heftige Überschwemmungen mindestens 20 Menschen. Inzwischen zieht der Wirbelsturm weiter in Richtung Bahamas.",https://www.tagesschau.de/ausland/hurrikan-melissa-kuba-102.html,https://images.tagesschau.de/image/61a61256-d365-45a0-b595-21bef4ddedba/AAABmjFhVm8/AAABmgWmh8Q/16x9-big/haiti-380.jpg?width=1280,,"Stand: 29.10.2025 20:13 Uhr
Nach Jamaika und Kuba hat der Hurrikan ""Melissa"" auch in Haiti für schwere Zerstörungen gesorgt. Dort starben durch heftige Überschwemmungen mindestens 20 Menschen. Inzwi… [+4555 chars]",,"Hurrikan ""Melissa"": Mindestens 20 Tote bei Überflutungen in Haiti. Nach Jamaika und Kuba hat der Hurrikan ""Melissa"" auch in Haiti für schwere Zerstörungen gesorgt. Dort starben durch heftige Überschwemmungen mindestens 20 Menschen. Inzwischen zieht der Wirbelsturm weiter in Richtung Bahamas.","Hurricane “Melissa”: At least 20 dead in floods in Haiti. After Jamaica and Cuba, Hurricane Melissa also caused severe destruction in Haiti. At least 20 people died there due to severe flooding. The hurricane is now moving further towards the Bahamas.","Procellae ""Melissa"": Saltem XX mortuus in inundationibus in Haitia. Post Iamaica et Cuba, Hurricane Melissa etiam in Haitia gravem stragem attulit. Saltem XX homines ibi ob gravem inundationem mortui sunt. Procellae nunc longius versus Bahamas tendit.",2025-10-23 18:43:44+00:00
05b651005a2fb5d42026b56196684aa8,2025-10-30T01:14:33Z,'Sturmflut Warnung',www.stern.de,de,0.1,"Gefährlicher Wirbelsturm: Hurrikan ""Melissa"" erreicht Bahamas","Sintflutartige Regenfälle und starke Winde: Wegen des Wirbelsturms werden 1.500 Menschen evakuiert. Ministerpräsident Davis betont: ""Was auch immer geschieht, wir werden wiederaufbauen"".",https://www.stern.de/panorama/gefaehrlicher-wirbelsturm--hurrikan--melissa--erreicht-bahamas-36174026.html,https://image.stern.de/36174028/t/gJ/v1/w1440/r1.7778/-/30--36lk2aw2fgv21axs2048jpeg---94a4381e69910307.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Sintflutartige Regenfälle und starke Winde: Wegen des Wirbelsturms werden 1.500 Menschen evakuiert. Ministerpräsident Davis betont: ""Was auch imm… [+1571 chars]",,"Gefährlicher Wirbelsturm: Hurrikan ""Melissa"" erreicht Bahamas. Sintflutartige Regenfälle und starke Winde: Wegen des Wirbelsturms werden 1.500 Menschen evakuiert. Ministerpräsident Davis betont: ""Was auch immer geschieht, wir werden wiederaufbauen"".","Dangerous cyclone: ​​Hurricane “Melissa” reaches the Bahamas. Torrential rain and strong winds: 1,500 people are evacuated due to the cyclone. Prime Minister Davis emphasizes: “Whatever happens, we will rebuild.”","Cyclone periculosus: Procellae ""Melissa"" ad Bahamas pervenit. Imber torrens et validi venti: 1500 homines ex cyclone evacuantur. Primus minister Davis in luce ponit: ""Quidquid acciderit, aedificabimus"".",2025-10-23 18:43:44+00:00
622a3aabf8b5824027f05e6be8c0d602,2025-10-30T01:14:33Z,'Sturmflut Warnung',www.zeit.de,de,0.1,"Gefährlicher Wirbelsturm: Hurrikan ""Melissa"" erreicht Bahamas","Hier finden Sie Informationen zu dem Thema „Gefährlicher Wirbelsturm“. Lesen Sie jetzt „Hurrikan ""Melissa"" erreicht Bahamas“.",https://www.zeit.de/news/2025-10/30/hurrikan-melissa-erreicht-bahamas,https://img.zeit.de/news/2025-10/30/hurrikan-melissa-erreicht-bahamas-image-group/wide__1300x731,,"Hurrikan «Melissa» hat die Inselgruppe der Bahamas erreicht. Den Inseln im Atlantik südöstlich des US-Bundesstaates Florida drohen zerstörerische Winde, sintflutartige Regenfälle und eine gefährliche… [+1369 chars]",,"Gefährlicher Wirbelsturm: Hurrikan ""Melissa"" erreicht Bahamas. Hier finden Sie Informationen zu dem Thema „Gefährlicher Wirbelsturm“. Lesen Sie jetzt „Hurrikan ""Melissa"" erreicht Bahamas“.",Dangerous cyclone: ​​Hurricane “Melissa” reaches the Bahamas. Here you will find information on the topic of “Dangerous Cyclones”. Now read “Hurricane Melissa hits the Bahamas”.,"Cyclone periculosus: Procellae ""Melissa"" ad Bahamas pervenit. Hic informationes invenies in argumento ""Periculosae Cyclones"". Nunc legitur ""Procellae Melissae Bahamas ferit"".",2025-10-23 18:43:44+00:00
19dbb532bdc191c6e9802b8246df967c,2025-10-30T01:15:57Z,'Sturmflut Warnung',www.tagesspiegel.de,de,0.1,Gefährlicher Wirbelsturm: Hurrikan „Melissa“ erreicht Bahamas,"Sintflutartige Regenfälle und starke Winde: Wegen des Wirbelsturms werden 1.500 Menschen evakuiert. Ministerpräsident Davis betont: „Was auch immer geschieht, wir werden wiederaufbauen“.",https://www.tagesspiegel.de/gesellschaft/panorama/gefahrlicher-wirbelsturm-hurrikan-melissa-erreicht-bahamas-14699225.html,https://www.tagesspiegel.de/images/14699222/alternates/BASE_16_9_W1400/1761786957000/hurrikan-melissa.jpeg,,"Hurrikan Melissa hat die Inselgruppe der Bahamas erreicht. Den Inseln im Atlantik südöstlich des US-Bundesstaates Florida drohen zerstörerische Winde, sintflutartige Regenfälle und eine gefährliche S… [+1415 chars]",,"Gefährlicher Wirbelsturm: Hurrikan „Melissa“ erreicht Bahamas. Sintflutartige Regenfälle und starke Winde: Wegen des Wirbelsturms werden 1.500 Menschen evakuiert. Ministerpräsident Davis betont: „Was auch immer geschieht, wir werden wiederaufbauen“.","Dangerous cyclone: ​​Hurricane “Melissa” reaches the Bahamas. Torrential rain and strong winds: 1,500 people are evacuated due to the cyclone. Prime Minister Davis emphasizes: “Whatever happens, we will rebuild.”","Cyclone periculosus: Procellae ""Melissa"" ad Bahamas pervenit. Imber torrens et validi venti: 1500 homines ex cyclone evacuantur. Primus minister Davis in luce ponit: ""Quidquid acciderit, aedificabimus"".",2025-10-23 18:43:44+00:00
0455cc2136bd5424436ccf95b2036121,2025-10-30T02:55:50Z,'Sturmflut Tote',www.stern.de,de,0.1,"Gefährlicher Wirbelsturm: Hurrikan ""Melissa"" wütet in der Karibik – mehr als 30 Tote","In mehreren Karibikstaaten kommen Menschen ums Leben. Häuser, Brücken und Bananenplantagen sind zerstört. Nun zieht der Sturm über die Bahamas. US-Präsident Trump kündigt Hilfen für die Region an.",https://www.stern.de/panorama/gefaehrlicher-wirbelsturm--hurrikan--melissa--wuetet-in-der-karibik---mehr-als-30-tote-36174026.html,https://image.stern.de/36174124/t/AV/v1/w1440/r1.7778/-/30--x55jzdrckov21axs2048jpeg---48131048e4cf75d3.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In mehreren Karibikstaaten kommen Menschen ums Leben. Häuser, Brücken und Bananenplantagen sind zerstört. Nun zieht der Sturm über die Bahamas. U… [+4586 chars]",,"Gefährlicher Wirbelsturm: Hurrikan ""Melissa"" wütet in der Karibik – mehr als 30 Tote. In mehreren Karibikstaaten kommen Menschen ums Leben. Häuser, Brücken und Bananenplantagen sind zerstört. Nun zieht der Sturm über die Bahamas. US-Präsident Trump kündigt Hilfen für die Region an.","Dangerous cyclone: ​​Hurricane “Melissa” rages in the Caribbean – more than 30 dead. People are killed in several Caribbean countries. Houses, bridges and banana plantations are destroyed. The storm is now moving over the Bahamas. US President Trump announces aid for the region.","Periculo cyclone: ​​Procellae ""Melissa"" in Caribbean saevit - plus quam XXX mortuus est. Homines in compluribus regionibus Caribbean occiduntur. Domos, pontes et plantationes Musa destructa sunt. Tempestas nunc per Bahamas movetur. Praeses Trump auxilium regionis denuntiat.",2025-10-23 18:43:44+00:00
ca8502298861b05444d6bf2ca8857550,2025-10-30T03:06:20Z,'Sturmflut Tote',www.faz.net,de,0.1,Jahrhundertsturm: Jahrhundertsturm: Hurrikan „Melissa“ wütet in der Karibik – mehr als 30 Tote,"In mehreren Karibikstaaten kommen Menschen ums Leben. Häuser, Brücken und Bananenplantagen sind zerstört. Nun zieht der Sturm über die Bahamas. US-Präsident Trump kündigt Hilfen für die Region an.",https://www.faz.net/aktuell/gesellschaft/ungluecke/jahrhundertsturm-hurrikan-melissa-wuetet-in-der-karibik-mehr-als-30-tote-accg-110756058.html,https://media0.faz.net/ppmedia/w1200/aktuell/gesellschaft/3776569193/1.10756062/facebook_teaser/jamaika-hurrikan-melissa-hat.jpg.webp,,"Hurrikan Melissa, der in den Karibikstaaten Jamaika, Kuba und Haiti verheerende Schäden angerichtet hat, zieht nun im Atlantik über die Inselkette der Bahamas hinweg. In der Karibik sind infolge des … [+4290 chars]",,"Jahrhundertsturm: Jahrhundertsturm: Hurrikan „Melissa“ wütet in der Karibik – mehr als 30 Tote. In mehreren Karibikstaaten kommen Menschen ums Leben. Häuser, Brücken und Bananenplantagen sind zerstört. Nun zieht der Sturm über die Bahamas. US-Präsident Trump kündigt Hilfen für die Region an.","Storm of the century: Storm of the century: Hurricane “Melissa” rages in the Caribbean – more than 30 dead. People are killed in several Caribbean countries. Houses, bridges and banana plantations are destroyed. The storm is now moving over the Bahamas. US President Trump announces aid for the region.","Tempestas saeculi: Tempestas saeculi: Procellae ""Melissa"" in Caribbean saevit - plusquam XXX mortuos. Homines in compluribus regionibus Caribbean occiduntur. Domos, pontes et plantationes Musa destructa sunt. Tempestas nunc per Bahamas movetur. Praeses Trump auxilium regionis denuntiat.",2025-10-23 18:43:44+00:00
7cf00070f3b0df7b1cdabe2985eb394a,2025-10-30T03:25:05Z,'Sturmflut Tote',www.tagesschau.de,de,0.1,"Mehr als 30 Menschen sterben durch Hurrikan ""Melissa""","Zerstörte Häuser, Brücken und Bananenplantagen - Hurrikan ""Melissa"" hat in Jamaika, Kuba und Haiti schwere Schäden verursacht. Mehr als 30 Menschen starben. Nun zieht der Sturm über die Bahamas. US-Präsident Trump kündigt Hilfen an.",https://www.tagesschau.de/ausland/amerika/hurrikan-melissa-bahamas-100.html,https://images.tagesschau.de/image/f8bbae7c-12fe-4e60-bb61-86804c13b859/AAABmjMce3w/AAABmgWmh8Q/16x9-big/jamaika-hurrikan-melissa-104.jpg?width=1280,,"Stand: 30.10.2025 04:25 Uhr
Zerstörte Häuser, Brücken und Bananenplantagen - Hurrikan ""Melissa"" hat in Jamaika, Kuba und Haiti schwere Schäden verursacht. Mehr als 30 Menschen starben. Nun zieht der… [+5458 chars]",,"Mehr als 30 Menschen sterben durch Hurrikan ""Melissa"". Zerstörte Häuser, Brücken und Bananenplantagen - Hurrikan ""Melissa"" hat in Jamaika, Kuba und Haiti schwere Schäden verursacht. Mehr als 30 Menschen starben. Nun zieht der Sturm über die Bahamas. US-Präsident Trump kündigt Hilfen an.","More than 30 people die from Hurricane Melissa. Destroyed houses, bridges and banana plantations - Hurricane ""Melissa"" caused severe damage in Jamaica, Cuba and Haiti. More than 30 people died. The storm is now moving over the Bahamas. US President Trump announces aid.","Plus quam XXX homines ex Procella Melissa moriuntur. Domos destruxerunt, pontes et plantationes Musae - Procellae ""Melissa"" grave damnum in Jamaica, Cuba et Haiti attulit. Plus quam XXX homines mortui sunt. Tempestas nunc per Bahamas movetur. Praeses Trump auxilium nuntiat.",2025-10-23 18:43:44+00:00
