keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Sturmflut Deiche',0.01919434250839942,0.011832411458709897,0.3723859678626274,0.8655112744124104,2.0
'Sturmflut Folgen',0.33877782377904314,1.020341750960537,-0.3080272754148942,0.0,2.0
'Sturmflut Fährausfälle',-0.3950541191647321,0.987011269772055,-0.2852258247658624,0.03949327101039744,4.0
'Sturmflut Fährverbindung',1.4116878967940407,1.0,-0.2396229234677988,1.0,1.0
'Sturmflut Hochwasser',-0.19954944542268035,0.6402377217289332,0.44035159706868876,1.2813791167447202,12.0
'Sturmflut Klimawandel',0.12867672517819895,1.3174695740713378,-0.2738250994413465,0.04836918112446242,2.0
'Sturmflut Küstenschutz',0.2528166580523074,1.0482568346162857,0.29286660963256167,0.9361176128255013,7.0
'Sturmflut Nordsee',0.06133478400359255,0.7235968660179259,0.10148234467718584,1.4738069388348294,16.0
'Sturmflut Ostsee',0.5456098895257943,0.9373504252569866,-0.3152545509662107,0.11482414823060098,8.0
'Sturmflut Pegel',0.4542691035872215,1.2548216204158076,-0.425045585927486,0.20268165922368023,6.0
'Sturmflut Rettungskräfte',-1.6333910101978355,1.0,-0.2396229234677988,1.0,2.0
'Sturmflut Sand',-0.42861683388113625,1.3635349555449214,-0.40401363770744714,0.13574521535698578,2.0
'Sturmflut Sandsäcke',1.0197548145488187,1.0,-0.6590822069526695,1.0,1.0
'Sturmflut Schäden',0.4941830728147443,0.4551625977458867,-0.3223698274558546,0.32977510591262965,3.0
'Sturmflut Sperrwerk',1.2701565611875618,1.0,3.3107547014873604,1.0,1.0
'Sturmflut Springflut',0.46263477989161306,1.0,,1.0,1.0
'Sturmflut Starkregen',0.2881164248622883,0.3183737548949004,-0.34296463388257253,0.25317157022199405,4.0
'Sturmflut Sturmböen',0.25280371923416955,0.5714221393108634,-0.2624243741168306,0.03949327101039742,5.0
'Sturmflut Sturmtief',-0.23950097588632344,1.0644625091889848,0.5766240158008756,2.0346285378669076,8.0
'Sturmflut Tote',-0.5861279331189903,0.9306071816705509,0.08334351919533897,1.0966027187911087,8.0
'Sturmflut Verletzte',-0.037503212526029846,0.1697140580784471,-0.5638312601153959,1.0,2.0
'Sturmflut Warnung',-0.059851680809818966,1.2713608581446405,-0.40203731788371144,0.196114834887182,7.0
'Sturmflut Wellen',0.5463413835170265,0.8047136629242967,-0.2852258247658624,0.03949327101039744,3.0
'Sturmflut Zerstörung',-0.25,1.0,0.0,1.0,1.0
'Sturmflut Überflutung',0.18901964355533893,0.4051887923230432,-0.44935256521023414,0.2966025037838025,3.0
'Sturmflut',-0.1222948334198232,1.0599291659957777,-0.00823220272237654,0.8100351292164119,64.0
