,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Sturmflut,Sturmflut,LOC,-0.17829457,0.05167959,de,38.70000000,,-1,,,,,,
Nordseeküste,Nordseeküste,LOC,-0.05241090,0.00000000,de,31.80000000,,-1,,,,,,
Deutschland,Deutschland,LOC,-0.19409283,0.04219409,de,23.70000000,,-1,,,,,,
Elbe,Elbe,LOC,-0.08944954,0.18348624,de,21.80000000,,-1,,,,,,
Hamburg,Hamburg,LOC,-0.10815603,0.00000000,de,18.80000000,,-1,,,,,,
Nordsee,Nordsee,LOC,-0.41139241,0.12658228,de,15.80000000,,-1,,,,,,
Deutschlands,Deutschlands,LOC,-0.13841808,0.08474576,de,11.80000000,,-1,,,,,,
Norwegen,Norwegen,LOC,-0.06363636,0.00000000,de,11.00000000,,-1,,,,,,
Norderney,Norderney,LOC,-0.07865169,0.11235955,de,8.90000000,,-1,,,,,,
Ostsee,Ostsee,LOC,-0.21250000,0.00000000,de,8.00000000,,-1,,,,,,
Küste,Küste,LOC,0.09090909,0.51948052,de,7.70000000,,-1,,,,,,
Europas,Europas,LOC,-0.04285714,0.00000000,de,7.00000000,,-1,,,,,,
Ems,Ems,LOC,-0.26428571,0.00000000,de,7.00000000,,-1,,,,,,
Niederlanden,Niederlanden,LOC,0.00000000,0.00000000,de,7.00000000,,-1,,,,,,
Weser,Weser,LOC,-0.26428571,0.00000000,de,7.00000000,,-1,,,,,,
…,…,LOC,0.00000000,0.00000000,de,6.90000000,,-1,,,,,,
Niedersachsen,Niedersachsen,LOC,0.41666667,0.00000000,de,6.00000000,,-1,,,,,,
Orkanböen,Orkanböen,LOC,-0.33333333,0.00000000,de,6.00000000,,-1,,,,,,
Nord-,Nord-,LOC,0.11666667,0.00000000,de,6.00000000,,-1,,,,,,
Sturmböen,Sturmböen,LOC,-0.05084746,0.00000000,de,5.90000000,,-1,,,,,,
Bahamas,Bahamas,LOC,-1.74545455,0.00000000,de,5.50000000,,-1,,,,,,
Sylt,Sylt,LOC,-0.06410256,0.00000000,de,5.20000000,,-1,,,,,,
