,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
deutschen,deutschen,MISC,,,de,10,,,,,,
Hamburger,Hamburger,MISC,,,de,9,,,,,,
deutsche,deutsche,MISC,,,de,9,,,,,,
Hurrikan Melissa,Hurrikan Melissa,MISC,,,de,6,,,,,,
schleswig-holsteinische,schleswig-holsteinische,MISC,,,de,6,,,,,,
Tages,Tages,MISC,,,de,5,,,,,,
Gefährlicher Wirbelsturm,Gefährlicher Wirbelsturm,MISC,,,de,5,,,,,,
"Hurrikan ""Melissa","Hurrikan ""Melissa",MISC,,,de,5,,,,,,
Ostsee-Sturmflut,Ostsee-Sturmflut,MISC,,,de,5,,,,,,
Ein Sturmtief,Ein Sturmtief,MISC,,,de,5,,,,,,
Leichte Sturmflut,Leichte Sturmflut,MISC,,,de,4,,,,,,
Bürger,Bürger,MISC,,,de,4,,,,,,
Sturm,Sturm,MISC,-0.06999999999999999,0.0,de,4,,,,,,
Sturmflut,Sturmflut,MISC,0.0,0.0,de,4,,,,,,
Lesen Sie jetzt „,Lesen Sie jetzt „,MISC,,,de,3,,,,,,
Hurrikan „Melissa,Hurrikan „Melissa,MISC,,,de,3,,,,,,
GVV Direkt,GVV Direkt,MISC,,,de,3,,,,,,
Sturmtief Joshua,Sturmtief Joshua,MISC,,,de,3,,,,,,
Zwei Jahre nach Ostseeflut,Zwei Jahre nach Ostseeflut,MISC,,,de,3,,,,,,
Lesen Sie jetzt „Sturmflut,Lesen Sie jetzt „Sturmflut,MISC,,,de,3,,,,,,
Sturm auf der Ostsee,Sturm auf der Ostsee,MISC,,,de,3,,,,,,
Der Wind,Der Wind,MISC,,,de,2,,,,,,
Ostseesturmflut,Ostseesturmflut,MISC,-0.7,0.0,de,2,,,,,,
Himalaya-Raum,Himalaya-Raum,MISC,,,de,2,,,,,,
Lesen Sie jetzt „Leichte Sturmflut,Lesen Sie jetzt „Leichte Sturmflut,MISC,,,de,2,,,,,,
Schwere Sturmflut,Schwere Sturmflut,MISC,,,de,2,,,,,,
KI-Rechenmodelle,KI-Rechenmodelle,MISC,,,de,2,,,,,,
Regen,Regen,MISC,,,de,2,,,,,,
Sturmtief über Europa,Sturmtief über Europa,MISC,,,de,2,,,,,,
Orkanartige Böen,Orkanartige Böen,MISC,,,de,2,,,,,,
"Der Sturm ""Joshua","Der Sturm ""Joshua",MISC,,,de,2,,,,,,
Tag,Tag,MISC,,,de,2,,,,,,
NonstopNews,NonstopNews,MISC,,,de,2,,,,,,
MeteoR,MeteoR,MISC,,,de,2,,,,,,
Sturm über Nordeuropa,Sturm über Nordeuropa,MISC,,,de,2,,,,,,
Sea Level Rise,Sea Level Rise,MISC,,,de,2,,,,,,
Sturmflut von 1825,Sturmflut von 1825,MISC,,,de,2,,,,,,
Lesen Sie jetzt „Weitere Sturmflut,Lesen Sie jetzt „Weitere Sturmflut,MISC,,,de,2,,,,,,
Sturmtief „Joshua,Sturmtief „Joshua,MISC,,,de,2,,,,,,
Zwei Jahre nach der Ostseesturmflut,Zwei Jahre nach der Ostseesturmflut,MISC,,,de,2,,,,,,
"Taifun ""Kalmaegi","Taifun ""Kalmaegi",MISC,,,de,2,,,,,,
Wind aus Nordwest,Wind aus Nordwest,MISC,,,de,2,,,,,,
Katastrophe von damals,Katastrophe von damals,MISC,,,de,2,,,,,,
"Das Sturmtief ""Bernd","Das Sturmtief ""Bernd",MISC,,,de,2,,,,,,
Sturm über Norddeutschland:,Sturm über Norddeutschland:,MISC,,,de,2,,,,,,
Hunderte Menschen und Tiere,Hunderte Menschen und Tiere,MISC,,,de,2,,,,,,
Umgestürzte Bäume,Umgestürzte Bäume,MISC,,,de,2,,,,,,
Eine heftige Sturmflut,Eine heftige Sturmflut,MISC,,,de,2,,,,,,
Lesen Sie jetzt „Historiker:,Lesen Sie jetzt „Historiker:,MISC,,,de,1,,,,,,
Lesen Sie jetzt „Angesagte Sturmflut,Lesen Sie jetzt „Angesagte Sturmflut,MISC,,,de,1,,,,,,
Lesen Sie jetzt „Elbe,Lesen Sie jetzt „Elbe,MISC,,,de,1,,,,,,
Sturmflut und,Sturmflut und,MISC,,,de,1,,,,,,
Link,Link,MISC,,,de,1,,,,,,
UPDATE,UPDATE,MISC,,,de,1,,,,,,
BASIC thinking,BASIC thinking,MISC,,,de,1,,,,,,
