,Causes,Hazard,Impacts,Mitigation,Invalid
2024-12-19,0.0,0.0,0.0,0.0,4.0
2024-12-20,0.0,0.0,0.0,0.0,4.0
2024-12-22,0.0,0.0,0.0,0.0,3.0
2024-12-23,0.0,0.0,0.0,0.0,5.0
2024-12-27,0.0,0.0,0.0,0.0,2.0
2025-01-07,0.0,0.0,0.0,0.0,12.0
2025-01-08,0.0,0.0,0.0,0.0,2.0
2025-01-10,0.0,0.0,0.0,0.0,3.0
2025-01-11,0.0,0.0,0.0,0.0,4.0
2025-01-12,0.0,0.0,0.0,0.0,1.0
2025-01-13,0.0,0.0,0.0,0.0,1.0
2025-01-26,0.0,0.0,0.0,0.0,2.0
2025-01-29,0.0,0.0,0.0,0.0,2.0
2025-02-01,0.0,0.0,0.0,0.0,2.0
2025-02-02,0.0,0.0,0.0,0.0,1.0
2025-02-03,0.0,0.0,0.0,0.0,1.0
2025-02-04,0.0,0.0,0.0,0.0,1.0
2025-02-16,0.0,0.0,0.0,0.0,1.0
2025-02-19,0.0,0.0,0.0,0.0,2.0
2025-03-09,0.0,0.0,0.0,0.0,1.0
2025-03-17,0.0,0.0,0.0,0.0,1.0
2025-03-18,0.0,0.0,0.0,0.0,2.0
2025-03-19,0.0,0.0,0.0,0.0,1.0
2025-04-11,0.0,0.0,0.0,0.0,4.0
2025-04-20,0.0,0.0,0.0,0.0,1.0
2025-04-25,0.0,0.0,0.0,0.0,1.0
2025-06-08,0.0,0.0,0.0,0.0,1.0
2025-07-06,0.0,0.0,0.0,0.0,1.0
2025-07-07,0.0,0.0,0.0,0.0,1.0
2025-07-12,0.0,0.0,0.0,0.0,1.0
2025-07-31,0.0,0.0,0.0,0.0,1.0
2025-08-15,0.0,0.0,0.0,0.0,1.0
2025-09-16,0.0,1.0,0.0,0.0,0.0
2025-10-01,0.0,1.0,0.6,0.0,0.0
2025-10-02,0.0,0.9,0.9,0.0,0.0
2025-10-03,2.0,1.0,0.0,0.0,0.0
2025-10-04,3.0,7.9,4.9,1.0,0.0
2025-10-05,3.0,12.8,4.8,0.0,0.0
2025-10-06,0.0,1.0,0.0,0.0,0.0
2025-10-07,0.0,1.0,0.0,0.0,0.0
2025-10-17,0.0,0.0,0.0,0.0,0.9
2025-10-20,0.0,3.0,1.0,1.0,0.0
2025-10-22,0.0,1.0,0.0,0.0,0.0
2025-10-23,0.0,1.0,0.0,0.0,1.8
2025-10-24,3.0,2.9,0.9,1.9,0.6
2025-10-25,0.0,2.0,0.0,0.0,0.0
2025-10-26,0.0,2.0,0.0,0.0,0.0
2025-10-28,0.0,0.0,0.0,0.0,1.6
2025-10-29,0.0,0.0,0.0,0.0,2.5
2025-10-30,0.0,1.0,0.0,0.0,6.200000000000001
2025-10-31,0.0,0.0,0.0,0.0,0.9
2025-11-03,0.0,0.0,0.0,0.0,0.9
2025-12-04,0.0,0.9,0.0,0.0,0.0
2025-12-11,0.0,0.9,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0,0.0,2.8
2026-01-01,0.0,1.8,0.0,0.0,0.0
2026-01-02,0.0,5.4,0.0,0.0,0.0
2026-01-03,0.0,0.0,0.0,0.9,0.0
2026-01-07,0.0,1.8,0.0,0.0,0.0
2026-01-08,0.0,5.4,0.0,1.8,0.0
2026-01-09,0.0,0.9,0.0,0.0,0.7
2026-01-10,0.0,0.0,0.0,0.0,0.7
